sales_rep,product_name,revenue_ytd,units_ytd,txn_count
10.0,Gut to Brain Hunger Control,65.25,3,1
10.0,Gut-to-Brain Hunger Control 60ct,7626.11,398,14
10.0,GUT TO BRAIN HUNGER CONTROL 60SG,1150.4700000000003,57,26
10.0,Hair Follicle Stimulator 60ct,19754.449999999997,2147,22
10.0,HAIR FOLLICLE STIMULATOR 60SG,881.1299999999999,42,16
10.0,HEALTHY BRAIN ALA 60CAPS,62.61,3,1
10.0,Healthy Brain ALA 60ct,32633.82,3166,12
10.0,Healthy Brain All-Day Focus 60ct,35404.32,3312,13
10.0,HEALTHY BRAIN ALL DAY FOCUS 60SG,443.78000000000003,23,15
10.0,HEALTHY FLOW SAW PALMETTO 60SG,267.14,13,3
10.0,HEALTHY TRACT PREBIOTIC 60SG,75.95,7,2
10.0,HIGH POTENCY D3 & K2 COMPLEX 60SG,2692.5899999999992,232,126
10.0,High Potency Mega D3 K2 Turmeric Extract,48.93,4,1
10.0,High Potency Mega D3+K2 Turmeric Extract 60ct,97343.48,9034,48
10.0,Immuno-Shield All Season Wellness 100ct,4408.29,363,8
10.0,IMMUNO SHIELD ALL SEASON WELLNESS 100SG,1318.9399999999998,96,53
10.0,Inflamma Less,57.09,3,1
10.0,Inflamma-Less 80ct,9506.5,580,19
10.0,INFLAMMA LESS 80SG,2169.810000000001,119,76
10.0,Inholtra Premium Lubri-Joint 120ct,230.74,12,1
10.0,Keto Karma Burn Fat RED,50.97,3,1
10.0,L-Arginine + Horney Goat Weed 75ct,7015.32,708,16
10.0,L-ARGININE + HORNY GOAT WEED 72SG,1028.1599999999999,68,53
10.0,L-Citrulline + L-Arginine 60ct,935.2199999999999,84,3
10.0,L-CITRULLINE + L ARGININE 60SG,1974.5800000000004,152,98
10.0,Libido Max for Active Men,44.85,3,1
10.0,Libido-Max for Active Men 60ct,39.57,3,1
10.0,LIBIDO MAX FOR ACTIVE MEN 60SG,394.89,31,13
10.0,Liver Detox & Blood Refresh,50.97,3,1
10.0,Liver Detox & Blood Refresh 60ct,79933.12999999999,5340,40
10.0,LIVER DETOX & BLOOD REFRESH 60SG,2204.41,141,86
10.0,Living Green Liquid-Gel Multi for MEN 120ct VALUE SIZE,93201.31000000001,4920,35
10.0,Living Green Liquid-Gel Multi for MEN 90ct,43702.8,2525,28
10.0,Living Green Liquid-Gel Multi for WOMEN 120ct VALUE SIZE,61512.20999999999,3372,38
10.0,Living Green Liquid-Gel Multi for WOMEN 90ct,2191.14,125,3
10.0,LIVING GREEN MULTI FOR MEN 90SG,1458.7500000000002,78,50
10.0,LIVING GREEN MULTI FOR WOMEN 90SG,1402.7199999999998,75,61
10.0,Longer Stronger Hair & Nails 120ct Value Size,4282.160000000001,204,15
10.0,Longer Stronger Hair & Nails 60ct,11246.619999999999,950,19
10.0,LONGER STRONGER HAIR & NAILS 60SG,1084.2200000000003,91,58
10.0,Longjack Extract Potency Wood Primal-Male 60ct,284.9,26,2
10.0,LONGJACK EXTR+POTENCY WOOD PRIMAL MALE 60CAPS,30.96,2,1
10.0,Love My Legs 60ct,1773.78,105,4
10.0,LOVE MY LEGS VEIN + CIRCULATION 60SG,183.66,9,2
10.0,Maca Root and Ashwagandha 75ct,83684.63,5589,42
10.0,MACA ROOT AND ASHWAGANDHA 75SG,2985.0899999999997,188,115
10.0,Maca Root & Ashwagandha,50.97,3,1
10.0,MACA ROOT + ASHWAGANDHA 42GUMMIES,370.96000000000004,48,22
10.0,MAGNESIUM + BEETS & COQ10 60CAP,384.71,42,28
10.0,Magnesium + Beets & CoQ10 60ct,8742.6,1802,5
10.0,MAGNESIUM + MILK THISTLE & TURMERIC 60CAP,244.60000000000002,35,23
10.0,Magnesium + Milk Thistle & Turmeric 60ct,15736.68,2234,9
10.0,MAGNESIUM + WHOLE-BODY BALANCE 30GUMMIES,278.15999999999997,48,22
10.0,Maximum Strength 3 in 1 Carb Blocker,40.77,3,1
10.0,Maximum Strength 3-in-1 Carb Blocker 150ct VALUE SIZE,717.86,36,2
10.0,Maximum Strength 3-in-1 Carb Blocker 75ct,6823.51,573,19
10.0,MEGA B12 ONE PER DAY 60SG,582.2,50,27
10.0,Mental Clarity Information Retention 60ct,3597.5999999999995,240,9
10.0,MENTAL CLARITY INFORMATION RETENTION 60SG,124.13,7,2
10.0,Mighty Moringa 60ct,23181.47,1946,21
10.0,MIGHTY MORINGA 60SG,51.16,6,4
10.0,Milk Thistle Liver Cleanse 60ct,973.88,74,17
10.0,MILK THISTLE LIVER CLEANSE 60T,812.9999999999999,56,23
10.0,Milk Thistle Liver Detox,46.89,3,1
10.0,MILK THISTLE LIVER DETOX 30GUMMIES,370.96000000000004,48,22
10.0,Milk Thistle Liver Detox 60ct,93011.19999999998,6760,67
10.0,MILK THISTLE LIVER DETOX 60SG,3011.7500000000005,208,86
10.0,Milk Thistle Triple-Detox 60ct,0,3,1
10.0,MILK THISTLE TRIPLE DETOX 60SG,65.57,8,5
10.0,Next Level Steel Libido X2 75ct,97291.78,5774,40
10.0,NEXT LEVEL STEEL LIBIDO X2 MACA & L ARGININE 75SG,1449.33,77,63
10.0,Nitric Oxide Pre Sport 60ct,17201.649999999998,1267,31
10.0,NITRIC OXIDE PRE-SPORT 60SG,3790.5699999999997,258,85
10.0,One-Per-Day Mega B-12 60ct,39737.979999999996,3326,29
