date,yhat,yhat_lower,yhat_upper,model,product_name,distributor,key_type,key_id
2025-11-01,273.40999999999997,-3646.518949061978,4193.338949061978,sarimax,CBD OIL 250 MG UNFLAVORED,SUPERNATURAL,product_distributor,CBD OIL 250 MG UNFLAVORED | SUPERNATURAL
2025-12-01,273.40999999999997,-4527.502876583078,5074.322876583078,sarimax,CBD OIL 250 MG UNFLAVORED,SUPERNATURAL,product_distributor,CBD OIL 250 MG UNFLAVORED | SUPERNATURAL
2025-11-01,2044.6899999999998,-727.118341651181,4816.49834165118,sarimax,CBD OIL 250MG UNFLAVORED 1OZ,THRESHOLD,product_distributor,CBD OIL 250MG UNFLAVORED 1OZ | THRESHOLD
2025-12-01,2044.6899999999998,-1875.2389490619782,5964.618949061978,sarimax,CBD OIL 250MG UNFLAVORED 1OZ,THRESHOLD,product_distributor,CBD OIL 250MG UNFLAVORED 1OZ | THRESHOLD
2025-12-01,258.96000000000004,-2512.848341651181,3030.768341651181,sarimax,CBD Oil Drops 250mg (flavorless) 1 fl. oz.,DIRECT,product_distributor,CBD Oil Drops 250mg (flavorless) 1 fl. oz. | DIRECT
2025-09-01,79.99000000000005,-2691.8183416511806,2851.798341651181,sarimax,CBD XTRA STRENGTH 50MG,SUPERNATURAL,product_distributor,CBD XTRA STRENGTH 50MG | SUPERNATURAL
2025-10-01,79.99000000000005,-3839.938949061978,3999.9189490619783,sarimax,CBD XTRA STRENGTH 50MG,SUPERNATURAL,product_distributor,CBD XTRA STRENGTH 50MG | SUPERNATURAL
2025-11-01,79.99000000000005,-4720.9228765830785,4880.902876583078,sarimax,CBD XTRA STRENGTH 50MG,SUPERNATURAL,product_distributor,CBD XTRA STRENGTH 50MG | SUPERNATURAL
2025-12-01,79.99000000000005,-5463.626683302362,5623.6066833023615,sarimax,CBD XTRA STRENGTH 50MG,SUPERNATURAL,product_distributor,CBD XTRA STRENGTH 50MG | SUPERNATURAL
2025-09-01,219.89,-2551.918341651181,2991.6983416511807,sarimax,CBD+ASHWAGANDHA,SUPERNATURAL,product_distributor,CBD+ASHWAGANDHA | SUPERNATURAL
2025-10-01,219.89,-3700.038949061978,4139.818949061978,sarimax,CBD+ASHWAGANDHA,SUPERNATURAL,product_distributor,CBD+ASHWAGANDHA | SUPERNATURAL
2025-11-01,219.89,-4581.022876583078,5020.802876583079,sarimax,CBD+ASHWAGANDHA,SUPERNATURAL,product_distributor,CBD+ASHWAGANDHA | SUPERNATURAL
2025-12-01,219.89,-5323.726683302361,5763.506683302362,sarimax,CBD+ASHWAGANDHA,SUPERNATURAL,product_distributor,CBD+ASHWAGANDHA | SUPERNATURAL
2025-09-01,1.4210854715202004e-14,-2771.808341651181,2771.808341651181,sarimax,CBD+MELATONIN,SUPERNATURAL,product_distributor,CBD+MELATONIN | SUPERNATURAL
2025-10-01,1.4210854715202004e-14,-3919.928949061978,3919.928949061978,sarimax,CBD+MELATONIN,SUPERNATURAL,product_distributor,CBD+MELATONIN | SUPERNATURAL
2025-11-01,1.4210854715202004e-14,-4800.912876583078,4800.912876583078,sarimax,CBD+MELATONIN,SUPERNATURAL,product_distributor,CBD+MELATONIN | SUPERNATURAL
2025-12-01,1.4210854715202004e-14,-5543.616683302362,5543.616683302362,sarimax,CBD+MELATONIN,SUPERNATURAL,product_distributor,CBD+MELATONIN | SUPERNATURAL
2025-09-01,0.0,-2771.808341651181,2771.808341651181,sarimax,CBD+POWER TO SLEEP,SUPERNATURAL,product_distributor,CBD+POWER TO SLEEP | SUPERNATURAL
2025-10-01,0.0,-3919.928949061978,3919.928949061978,sarimax,CBD+POWER TO SLEEP,SUPERNATURAL,product_distributor,CBD+POWER TO SLEEP | SUPERNATURAL
2025-11-01,0.0,-4800.912876583078,4800.912876583078,sarimax,CBD+POWER TO SLEEP,SUPERNATURAL,product_distributor,CBD+POWER TO SLEEP | SUPERNATURAL
2025-12-01,0.0,-5543.616683302362,5543.616683302362,sarimax,CBD+POWER TO SLEEP,SUPERNATURAL,product_distributor,CBD+POWER TO SLEEP | SUPERNATURAL
2025-09-01,7.105427357601002e-15,-2771.808341651181,2771.808341651181,sarimax,CBD+TURMERIC,SUPERNATURAL,product_distributor,CBD+TURMERIC | SUPERNATURAL
2025-10-01,7.105427357601002e-15,-3919.928949061978,3919.928949061978,sarimax,CBD+TURMERIC,SUPERNATURAL,product_distributor,CBD+TURMERIC | SUPERNATURAL
2025-11-01,7.105427357601002e-15,-4800.912876583078,4800.912876583078,sarimax,CBD+TURMERIC,SUPERNATURAL,product_distributor,CBD+TURMERIC | SUPERNATURAL
2025-12-01,7.105427357601002e-15,-5543.616683302362,5543.616683302362,sarimax,CBD+TURMERIC,SUPERNATURAL,product_distributor,CBD+TURMERIC | SUPERNATURAL
2025-10-01,134.32,-2637.4883416511807,2906.128341651181,sarimax,CLA LEAN FAT REDUCTION,SUPERNATURAL,product_distributor,CLA LEAN FAT REDUCTION | SUPERNATURAL
2025-11-01,134.32,-3785.608949061978,4054.2489490619782,sarimax,CLA LEAN FAT REDUCTION,SUPERNATURAL,product_distributor,CLA LEAN FAT REDUCTION | SUPERNATURAL
2025-12-01,134.32,-4666.592876583079,4935.232876583078,sarimax,CLA LEAN FAT REDUCTION,SUPERNATURAL,product_distributor,CLA LEAN FAT REDUCTION | SUPERNATURAL
2025-10-01,30.22,-2741.588341651181,2802.0283416511807,sarimax,CLA Lean Body Fat Reduction,PALKO,product_distributor,CLA Lean Body Fat Reduction | PALKO
2025-11-01,30.22,-3889.7089490619783,3950.148949061978,sarimax,CLA Lean Body Fat Reduction,PALKO,product_distributor,CLA Lean Body Fat Reduction | PALKO
2025-12-01,30.22,-4770.692876583078,4831.1328765830785,sarimax,CLA Lean Body Fat Reduction,PALKO,product_distributor,CLA Lean Body Fat Reduction | PALKO
2025-12-01,755.4000000000001,-2016.4083416511808,3527.208341651181,sarimax,CLA Lean Body Fat Reduction 80ct,DIRECT,product_distributor,CLA Lean Body Fat Reduction 80ct | DIRECT
2025-12-01,755.4000000000001,-2016.4083416511808,3527.208341651181,sarimax,CLA Lean Body Fat Reduction 80ct,ALL,product_distributor,CLA Lean Body Fat Reduction 80ct | ALL
2025-10-01,95.94,-2675.868341651181,2867.748341651181,sarimax,CLEANSE&FLUSH WEIGHT LOSS,SUPERNATURAL,product_distributor,CLEANSE&FLUSH WEIGHT LOSS | SUPERNATURAL
2025-11-01,95.94,-3823.988949061978,4015.868949061978,sarimax,CLEANSE&FLUSH WEIGHT LOSS,SUPERNATURAL,product_distributor,CLEANSE&FLUSH WEIGHT LOSS | SUPERNATURAL
2025-12-01,95.94,-4704.972876583079,4896.852876583078,sarimax,CLEANSE&FLUSH WEIGHT LOSS,SUPERNATURAL,product_distributor,CLEANSE&FLUSH WEIGHT LOSS | SUPERNATURAL
2025-09-01,115.95000000000002,-2655.858341651181,2887.7583416511807,sarimax,COLLAGEN BEAUTY,SUPERNATURAL,product_distributor,COLLAGEN BEAUTY | SUPERNATURAL
2025-10-01,115.95000000000002,-3803.9789490619783,4035.878949061978,sarimax,COLLAGEN BEAUTY,SUPERNATURAL,product_distributor,COLLAGEN BEAUTY | SUPERNATURAL
2025-11-01,115.95000000000002,-4684.9628765830785,4916.862876583078,sarimax,COLLAGEN BEAUTY,SUPERNATURAL,product_distributor,COLLAGEN BEAUTY | SUPERNATURAL
2025-12-01,115.95000000000002,-5427.666683302362,5659.5666833023615,sarimax,COLLAGEN BEAUTY,SUPERNATURAL,product_distributor,COLLAGEN BEAUTY | SUPERNATURAL
