distributor,product_name,revenue_ytd,units_ytd,txn_count
DIRECT,Libido-Max 30ct SKINNY,3400.3199999999997,528,23
DIRECT,Libido-Max 75ct,38331.23999999999,2316,92
DIRECT,Libido-Max for Active Men 60ct,41901.030000000006,3171,117
DIRECT,Libido-Max RED 30ct SKINNY,3360.72,528,19
DIRECT,Liquid Collagen & Hyaluronic Acid,57655.07999999999,6012,29
DIRECT,Liquid Collagen Skin Revitalization 10ct,274059.28,35422,71
DIRECT,Liquid Quick-Delivery Ashwagandha Mind Body 10ct,6618.48,552,16
DIRECT,Liver Detox & Blood Refresh 60ct,139115.77,9356,116
DIRECT,Living Green Liquid-Gel Multi for MEN 120ct VALUE SIZE,180534.76999999996,9026,150
DIRECT,Living Green Liquid-Gel Multi for MEN 90ct,65727.89,3822,89
DIRECT,Living Green Liquid-Gel Multi for WOMEN 120ct VALUE SIZE,107059.95999999996,5516,134
DIRECT,Living Green Liquid-Gel Multi for WOMEN 90ct,12142.369999999999,735,44
DIRECT,Longer Stronger Hair & Nails 120ct Value Size,44294.34999999999,2148,80
DIRECT,Longer Stronger Hair & Nails 60ct,52243.689999999995,5067,135
DIRECT,Longjack Extract Potency Wood Primal-Male 60ct,9417.66,769,46
DIRECT,Love My Legs 60ct,49011.1,2867,59
DIRECT,Maca Root and Ashwagandha 75ct,117244.55000000003,7855,121
DIRECT,Magnesium + Beets & CoQ10 60ct,12757.740000000002,2073,22
DIRECT,Magnesium + Milk Thistle & Turmeric 60ct,11203.5,1993,27
DIRECT,Magnum Blood-Flow Sexual Peak Performance 16ct,5478.72,768,19
DIRECT,Magnum Blood-Flow Sexual Peak Performance 40ct,88256.89999999998,6696,62
DIRECT,Maximum Strength 3-in-1 Carb Blocker 150ct VALUE SIZE,529917.7400000001,25272,86
DIRECT,Maximum Strength 3-in-1 Carb Blocker 75ct,172620.0500000001,14423,99
DIRECT,Maximum Strength 3 -in- 1 Carb Blocker 84ct 300cc,1964.0399999999995,156,9
DIRECT,Mental Clarity Information Retention 60ct,10594.860000000002,721,42
DIRECT,Mighty Moringa 60ct,60227.58,5150,118
DIRECT,Milk Thistle Liver Cleanse 60ct,7638.369999999998,553,47
DIRECT,Milk Thistle Liver Detox 54ct,469.44,36,1
DIRECT,Milk Thistle Liver Detox 60ct,123139.63999999994,8998,141
DIRECT,Milk Thistle Triple-Detox 60ct,659.73,75,15
DIRECT,Multi-Herb Colon Cleanse 275ct ECONOMY SIZE,146500.49,9400,109
DIRECT,Multi Herb Digestion & Detox Support 275ct ECONOMY SIZE,33457.11,2164,53
DIRECT,Next Level Steel Libido X2 75ct,106998.36000000002,6302,87
DIRECT,Nitric Oxide Pre Sport 60ct,41004.24999999999,3116,100
DIRECT,One-Per-Day Mega B-12 60ct,48476.14999999998,4083,75
DIRECT,Only One Liquid-Gel Multi WITH IRON 60ct,33106.56999999999,2539,66
DIRECT,Only One Liquid-Gel Multi WITHOUT IRON 60ct,11461.360000000002,1142,50
DIRECT,Optimum-Strength Testosterone UP PRO-Growth 60ct,13307.100000000002,632,40
DIRECT,Power-Male Horny Goat Weed w/Nitric Oxide Booster 60ct,12517.560000000005,1044,54
DIRECT,PowertoSleepMagnesiumPM+RelaxingFlowerComplex60ct,14915.579999999998,2543,38
DIRECT,Power to Sleep PM 120ct VALUE SIZE,179203.98999999993,8497,148
DIRECT,Power to Sleep PM 60ct,75487.88999999998,6345,131
DIRECT,Power to Sleep PM 6mg Melatonin 60ct,64873.27,5246,88
DIRECT,Power to Sleep PM Melatonin-Free 50ct,7969.650000000001,661,47
DIRECT,Primal Male Fenugreek RED Testosterone Booster 60ct,0,0,1
DIRECT,Pro-Active Male Prosta-Strong Healthy Urinary Flow 180ct VALUE SIZE,478470.3099999998,11973,122
DIRECT,Pro-Active Male Prosta-Strong Healthy Urinary Flow 90ct,50911.85999999997,2539,95
DIRECT,Pro-Active Nitric Oxide PWR Blood-Flow Booster 60ct,37902.8,2889,108
DIRECT,Prosta-Strong RED 80ct,46781.2,2637,113
DIRECT,Pure Defense Mushroom-8 Immune Support 60ct,9014.34,677,45
DIRECT,Quick Energy RED Liquid-Gel Multi 72ct,27085.39,1681,41
DIRECT,"Rapid-Acting Testosterone UP ThermoBurn-Max, 60ct",40454.77,2123,36
DIRECT,Respiratory Support & Defense 60ct,41204.20999999999,4500,89
DIRECT,Sensual Woman Endurance*Stress*Libido 60ct,17629.499999999993,1153,56
DIRECT,Shatavari-Rose Mind & Body for Women 60ct,12948.050000000003,767,34
DIRECT,Sleep Fit PM Fat Burner 60ct,20591.780000000002,1469,60
DIRECT,Steel-Libido 150ct VALUE SIZE,39730.19999999998,1380,50
DIRECT,Steel-Libido 75ct,29914.039999999994,2008,74
DIRECT,Steel-Libido for Women 48ct 200cc,13085.890000000001,1092,27
DIRECT,Steel-Libido for WOMEN 75ct,130657.16000000002,8735,143
DIRECT,Steel-Libido Max3 + Nitric Oxide Booster 75ct,1618.9199999999998,108,7
DIRECT,Steel-Libido Peak Testosterone 75ct,32954.01999999998,2232,80
DIRECT,Steel-Libido PINK for WOMEN 60ct,45212.33000000001,2661,92
DIRECT,Steel-Libido RED 150ct VALUE SIZE,300084.06999999995,11153,155
DIRECT,Steel-Libido RED 75ct,108257.17,7282,132
DIRECT,Steel Libido RED 84ct 300cc,5036.999999999999,300,21
DIRECT,Stored Fat Belly Burner 100ct VALUE SIZE,283529.83000000013,15754,89
DIRECT,Stored Fat Belly Burner 60ct,187691.77999999997,16664,125
DIRECT,Stored-Fat Belly Burner 72ct 300cc,2690.7599999999998,204,14
DIRECT,Stored-Fat Belly Burner plus CalorieBurn 40ct,31550.000000000007,2531,85
DIRECT,Stress-Defy 84ct,19530.059999999998,1117,66
DIRECT,Stress Defy Sleep PM 50ct,6068.14,356,30
DIRECT,Sunny Mood with 5-HTP 80ct,14158.899999999998,851,45
DIRECT,Sunny Mood with Rhodiola 75ct,50027.47999999997,3042,105
DIRECT,Super Cleanse 100ct,16809.8,1766,60
DIRECT,Super Cleanse 200ct ECONOMY SIZE,398747.9999999999,27455,186
DIRECT,Testosterone-Extra Fat Burner 60ct,44211.419999999984,2651,84
DIRECT,Testosterone Extra Fat Burner 68ct 300cc,6476.400000000001,360,20
DIRECT,Testosterone Mega-Boost Red 56ct,36293.279999999984,2162,54
DIRECT,Testosterone Mega-Boost RED 68ct 300cc,213099.36000000002,10183,112
DIRECT,Testosterone UP 120ct VALUE SIZE,30488.429999999997,847,37
DIRECT,Testosterone UP 60ct,17227.8,916,41
DIRECT,Testosterone UP Max3 + Nitric Oxide Booster 60ct,0,0,1
DIRECT,Testosterone UP Prostate Defense 60ct,15177.150000000003,646,32
DIRECT,Testosterone Up RED 100ct VALUE SIZE,87416.15,2756,73
DIRECT,Testosterone UP RED 32ct 200cc,5179.68,432,22
DIRECT,Testosterone UP RED 60ct,73310.70999999999,3750,104
DIRECT,Testosterone Up Strength & Size 60ct,37181.04000000001,1788,40
DIRECT,Thermo Burn Stubborn Fat Metabolizer 60ct,73020.71999999999,4883,79
DIRECT,Triple-Boost Caffeine-Free Energy 75ct,8716.25,649,36
DIRECT,Triple Diet Fat Reduction Max Accelerator 72ct,27691.110000000008,2103,54
DIRECT,Triple Source MAGNESIUM ASHWAGANDHA 60ct,83635.16,8316,93
DIRECT,Triple-Tea Fat Burner 75ct,9868.460000000001,660,38
DIRECT,Turbo-Energy Libido-Max RED 72ct,3568.74,289,25
DIRECT,"Type I, II & III Collagen Peptides + Astaxanthin 60ct",2980.83,184,16
DIRECT,Ultimate Cleanse (2 Part Program),189513.56,9431,112
DIRECT,Urgent Rescue Mega Vita-C 60ct,14241.7,1221,54
DIRECT,Urinary Flush & Support 60ct,11237.940000000002,1236,66
DIRECT,V02 Max Performance Fat Burner 60ct,21609.49,1212,56
DIRECT,Vision Sharp Multi-Nutrient Eye Health 42ct,62818.94999999999,5608,112
DIRECT,Vitality & Recovery Testosterone Up for Men 60+ 60ct,14944.88,745,51
DIRECT,Weekend Colon Flush 16ct,139123.89999999997,27670,145
DIRECT,Whole Body Turmeric 120ct VALUE SIZE,24793.929999999997,1381,74
DIRECT,Whole Body Turmeric Curcumin C3 60ct,16205.700000000003,1360,71
DIRECT,Women's 73 Nutrient Soft-Gel Multi 60ct,14176.460000000005,1154,70
DIRECT,Yohimbe-Plus Maximum Enhancement 100ct,31074.059999999998,2343,97
KEHE,1 KT PARASTROY 90+90TB,26.38,2,1
KEHE,2-IN-1 Kidney & Liver Super Cleanse 60ct,120729.45999999832,8105,4906
KEHE,3-in-1 Joint Formula 90ct,30152.980000000065,1934,343
KEHE,60 SG FISH OIL PURE 2XPOTENCY,1067.1100000000001,89,15
KEHE,60 SG MENS FENUGREEK RED,474.96,24,2
KEHE,60 SG WOMENS DIET CELLU THIGHS,100.74000000000001,9,2
KEHE,7-Day Ultimate Cleanse (2 Part Program),1280.06,154,44
KEHE,Advanced Absorption Mega B-Complex 60ct,20069.400000000038,1949,467
KEHE,Beet Root RED 60ct,8304.46,581,149
KEHE,Blood Sugar Balance Berberine-Body+Fat Burner 56ct,133593.73999999807,7427,4649
KEHE,Body Fat-Diet System-Six RED 72ct,1262.8200000000002,78,14
KEHE,Brain Awake 60ct,7762.829999999998,624,152
KEHE,Brain Awake RED 60ct,9040.459999999972,776,216
KEHE,CoQ10-RED 60ct,11990.55000000002,683,179
KEHE,Daily Gentle Cleanse 60ct,4903.909999999996,472,84
KEHE,Daily Multi Testosterone UP Booster for Men 60ct,9066.959999999981,520,167
KEHE,Double Potency 5-HTP Extra 60ct,575.52,48,15
KEHE,Energy & Endurance Testosterone UP Men Over 40 60ct,31925.790000000026,1573,212
KEHE,Extra-Energy Thermo-Fuel Max Fat Burner 100ct,11471.780000000017,784,169
KEHE,Extra Strength Ashwagandha 60ct,8295.590000000004,625,129
KEHE,Ginkgo Smart Maximum Focus & Memory 60ct,13141.039999999966,1146,314
KEHE,Gluten & Dairy Digestive Aid 50ct,2014.3200000000002,168,40
KEHE,Green Tea Fat Burner 90ct SSLV,11078.759999999895,924,519
